Date, Characters, Lines
('2017 17', 3, 1)
('2016 13', 4, 1)
('2018 11', 4, 1)
('2017 3', 6, 1)
('2018 14', 6, 1)
('2016 19', 7, 1)
('2015 4', 8, 1)
('2015 11', 8, 1)
('2015 20', 8, 1)
('2016 5', 8, 1)
('2016 14', 8, 1)
('2016 17', 8, 1)
('2017 14', 8, 1)
('2020 23', 9, 1)
('2015 10', 10, 1)
('2019 4', 13, 1)
('2020 15', 13, 1)
('2020 25', 16, 2)
('2016 16', 17, 1)
('2015 22', 24, 2)
('2018 22', 26, 2)
('2019 24', 29, 5)
('2015 21', 34, 3)
('2017 6', 35, 1)
('2021 17', 35, 1)
('2018 9', 46, 1)
('2017 10', 53, 1)
('2017 15', 55, 2)
('2015 17', 58, 20)
('2021 21', 59, 2)
('2021 23', 65, 5)
('2019 12', 70, 4)
('2020 17', 71, 8)
('2015 24', 85, 28)
('2015 25', 98, 1)
('2016 18', 100, 1)
('2021 11', 109, 10)
('2020 13', 142, 2)
('2021 12', 149, 23)
('2020 22', 161, 53)
('2016 12', 175, 23)
('2016 23', 194, 26)
('2016 25', 232, 30)
('2015 15', 273, 4)
('2017 23', 279, 32)
('2017 13', 285, 44)
('2015 23', 298, 47)
('2017 24', 305, 56)
('2016 15', 344, 6)
('2017 18', 351, 41)
('2020 10', 361, 107)
('2018 21', 389, 32)
('2016 11', 402, 4)
('2018 19', 405, 37)
('2018 6', 431, 50)
('2019 2', 449, 1)
('2018 12', 468, 34)
('2021 6', 599, 1)
('2016 1', 604, 1)
('2017 22', 649, 25)
('2019 16', 650, 1)
('2015 14', 655, 9)
('2019 1', 659, 100)
('2015 9', 709, 28)
('2021 14', 821, 102)
('2015 19', 985, 45)
('2020 1', 989, 200)
('2018 15', 1055, 32)
('2017 2', 1108, 16)
('2019 7', 1253, 1)
('2021 16', 1314, 1)
('2019 10', 1331, 36)
('2019 19', 1464, 1)
('2017 25', 1546, 62)
('2019 22', 1704, 100)
('2019 14', 1712, 64)
('2019 11', 1993, 1)
('2021 24', 2046, 252)
('2017 1', 2098, 1)
('2018 24', 2376, 23)
('2016 2', 2501, 5)
('2018 18', 2549, 50)
('2019 5', 2556, 1)
('2020 12', 2688, 759)
('2019 3', 2956, 2)
('2016 21', 3004, 100)
('2019 15', 3351, 1)
('2019 9', 3403, 1)
('2021 18', 3403, 100)
('2015 13', 3468, 56)
('2018 1', 3575, 999)
('2017 21', 3695, 108)
('2021 7', 3875, 1)
('2016 8', 3961, 194)
('2017 5', 4851, 1056)
('2019 17', 4898, 1)
('2018 7', 4948, 101)
('2016 6', 5147, 572)
('2020 8', 5295, 654)
('2015 7', 5303, 339)
('2015 8', 6501, 300)
('2019 18', 6641, 81)
('2018 2', 6749, 250)
('2015 1', 7000, 1)
('2019 13', 7000, 1)
('2019 21', 7326, 1)
('2021 13', 7648, 936)
('2021 2', 7757, 1000)
('2016 24', 7825, 43)
('2021 4', 7889, 601)
('2019 23', 7905, 1)
('2016 9', 7960, 1)
('2015 2', 8120, 1000)
('2020 5', 8172, 743)
('2015 3', 8192, 1)
('2020 11', 8279, 90)
('2020 9', 8789, 1000)
('2021 1', 8854, 2000)
('2021 5', 9274, 500)
('2021 19', 9400, 717)
('2015 6', 9530, 300)
('2015 18', 10099, 100)
('2021 9', 10099, 100)
('2021 15', 10099, 100)
('2020 3', 10335, 323)
('2016 10', 10512, 231)
('2021 20', 10613, 102)
('2021 10', 10949, 110)
('2020 24', 11283, 347)
('2021 3', 12999, 1000)
('2020 14', 13263, 549)
('2018 25', 13471, 1378)
('2018 20', 14220, 1)
('2019 8', 15000, 1)
('2019 20', 15405, 121)
('2018 10', 15883, 361)
('2020 6', 16588, 2147)
('2015 5', 16999, 1000)
('2021 8', 17028, 200)
('2020 20', 17566, 1727)
('2019 25', 17599, 1)
('2019 6', 17935, 2242)
('2020 21', 18181, 45)
('2020 19', 18224, 607)
('2021 25', 19179, 137)
('2020 18', 19657, 373)
('2020 16', 19696, 266)
('2017 9', 19977, 1)
('2020 2', 20444, 1000)
('2021 22', 20833, 420)
('2015 16', 21572, 500)
('2017 11', 21631, 1)
('2020 4', 21915, 1168)
('2018 13', 22555, 150)
('2017 4', 23284, 512)
('2016 20', 23651, 1104)
('2017 8', 25579, 1000)
('2016 3', 25581, 1599)
('2015 12', 26663, 1)
('2017 7', 26809, 1281)
('2018 3', 28730, 1311)
('2018 17', 32350, 1737)
('2018 8', 33803, 1)
('2017 12', 35663, 2000)
('2018 4', 36644, 1092)
('2017 19', 40321, 200)
('2016 4', 40440, 953)
('2020 7', 44223, 594)
('2016 22', 44475, 927)
('2018 23', 45107, 1000)
('2018 16', 46685, 3938)
('2017 16', 48553, 1)
('2017 20', 49604, 1000)
('2018 5', 50000, 1)
('2016 7', 179773, 2000)
